Collection ID,Image Link,Phylum (门),Order (目),Family (科),Genus (属),Scientific Name,Chinese Name,Identified By,Date Identified,Collector,Collection Number,Collection Date,Collection Location,Altitude,Habitat,Phenology
e9603031,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841196,维管植物门,蔷薇目,蔷薇科,草莓属,Fragaria gracilis Losinsk.,纤细草莓,谷粹芝,20090310.0,谢朝俊,s.n.,19550000.0,中国 四川省,,,有花无果
e960373f,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841161,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20081200.0,"曹子余,王忠涛",62,19860506.0,中国 北京市,1100.0,路边,有花无果
e960362c,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841162,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20090224.0,,s.n.,,中国,,,有花无果
e9603518,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841165,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20080700.0,"陈学林,王一峰",910007,19910707.0,中国 甘肃省,1650.0,地梗边,有花无果
e96030bb,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841194,维管植物门,蔷薇目,蔷薇科,蛇莓属,Duchesnea indica Focke,蛇莓,谷粹芝,20090223.0,徐洪贵,020,19950420.0,中国 四川省,550.0,田边,有花无果
e96035a3,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841164,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20090224.0,普查标本,16104,19590000.0,中国 河南省,,,有花无果
e96031d3,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841193,维管植物门,蔷薇目,蔷薇科,无尾果属,Coluria longifolia Maxim.,无尾果,谷粹芝,20090224.0,任再金,1-1110,19820727.0,中国 西藏自治区,4000.0,高山草地,有花无果
e9603373,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841168,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20090224.0,李全喜,317,19630626.0,中国 甘肃省,1870.0,开阔山谷,有花无果
e9603148,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841171,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20080700.0,杨金祥,54,19590417.0,中国 陕西省,1250.0,路边,有花无果
e960348e,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841167,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20090224.0,蒲训,81,19811011.0,中国 甘肃省,2000.0,草丛,有花无果
