Collection ID,Image Link,Phylum (门),Order (目),Family (科),Genus (属),Scientific Name,Chinese Name,Identified By,Date Identified,Collector,Collection Number,Collection Date,Collection Location,Altitude,Habitat,Phenology
e94d779d,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01849957,维管植物门,百合目,藜芦科,重楼属,Paris fargesii Franch.,球药隔重楼,L.L.Q,19900612.0,张桂才,580,19880624.0,中国 湖南省,700,密林,无花有果
e922c7fd,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01870243,维管植物门,水龙骨目,碗蕨科,稀子蕨属,Monachosorum henryi H.Christ,稀子蕨,X. C. Zhang,20110120.0,"张宪春,蒋日红,魏雪苹等",6294,20100920.0,中国 云南省,2006,林下土生,有孢子囊
e932c632,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01862520,维管植物门,蔷薇目,荨麻科,楼梯草属,Elatostema pseudocuspidatum W.T.Wang,拟骤尖楼梯草,王文采,20110106.0,Jin & Ting Zhang,173,20080518.0,中国 云南省,1851,forest,有花无果
e9204ed0,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01871162,维管植物门,水龙骨目,碗蕨科,稀子蕨属,Monachosorum henryi H.Christ,稀子蕨,Li Zhang-Yang,20110513.0,"魏雪苹,卫然",WXP174,20101230.0,中国 云南省,2095,疏林下或沟谷,有孢子囊
e92df66c,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01864783,维管植物门,龙胆目,茜草科,巴戟天属,Morinda hupehensis S.Y.Hu,湖北巴戟,陈涛,20110324.0,PE-古蔺考察队,1035,20100908.0,中国 四川省,1338~1513,"峡谷,林中",无花有果
e932faf3,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01862385,维管植物门,蔷薇目,荨麻科,苎麻属,Boehmeria hamiltoniana Wedd.,细序苎麻,"林祁,段林东",20110130.0,税玉民等,13799,20001018.0,中国 云南省,500,in the second forests,有花无果
e916f05a,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01879419,维管植物门,杜鹃花目,凤仙花科,凤仙花属,Impatiens mussoti Hook.f.,慕索氏凤仙花,陈艺林,20120116.0,Luo Yi-bo,715,20010831.0,中国 四川省,3300,沟底溪旁,有花有果
e9246296,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01869249,维管植物门,石竹目,蓼科,酸模属,Rumex trisetifer Stokes,长刺酸模,李安仁,201202.0,谭策铭,94472,19940601.0,中国 江西省,28,山脚河滩,无花有果
e91a6a97,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01877804,维管植物门,唇形目,唇形科,香薷属,Elsholtzia densa Benth.,密花香薷,王强,20121016.0,PE-西藏队,428,20100808.0,中国 西藏自治区,3760,山坡沟谷,有花无果
e9457c15,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01853757,维管植物门,冬青目,冬青科,冬青属,Ilex atrata W.W.Smith,黑果冬青,洪德元,20110808.0,中国科学植物研究所昆明工作站,24720,19591126.0,中国 云南省,2000,山坡阔叶林中,无花有果
e935988b,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01861198,维管植物门,水龙骨目,凤尾蕨科,铁线蕨属,Adiantum davidii Franch.,白背铁线蕨,卫然,20081201.0,巴山采集队,1336,20080709.0,中国 重庆市,1630,路边,有孢子囊
